dataset	culture_day	pathway	feature_counts	sig_feature_counts	features	sig_features
BPS_high_wk07	d1	Adrenergic signaling in cardiomyocytes	5	3	163.03903__2.57;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d1	Cornified envelope formation	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d1	Mannose type O-glycan biosynthesis	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d1	Nicotinate and nicotinamide metabolism	25	3	138.01851__0.392;156.99396__1.426;156.99396__1.426;156.99396__1.426;156.99414__2.325;173.00832__0.434;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;191.01893__0.927;191.01899__0.877;191.01902__1.159;191.01903__1.199;191.01903__4.876;191.01907__1.949;191.0191__4.852;191.01918__0.417;255.04841__0.699;255.04862__0.725;315.25413__1.597;405.26456__1.555;405.26458__1.587;405.26467__2.547	156.99396__1.426;156.99396__1.426;156.99396__1.426
BPS_high_wk07	d1	Pinene, camphor and geraniol degradation	9	1	195.13834__1.526;203.08194__0.936;213.11287__7.72;213.11287__7.72;258.03855__6.013;309.20713__1.575;345.21008__1.657;345.21015__1.62;391.28571__8.863	195.13834__1.526
BPS_high_wk07	d1	Regulation of lipolysis in adipocytes	14	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;195.05026__1.002;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d1	Renin secretion	7	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d1	Steroid degradation	19	2	171.00482__4.333;171.00482__4.806;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;181.01349__1.244;181.01351__1.172;199.02349__4.831;199.02411__1.033;199.02412__0.925;199.02416__1.101;265.01805__2.317;265.01805__2.317;265.01822__6.79;265.18058__1.686;265.18077__1.549;265.18112__8.292	265.01805__2.317;265.01805__2.317
BPS_high_wk07	d2	Adrenergic signaling in cardiomyocytes	5	3	163.03903__2.57;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d2	Cornified envelope formation	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
